reward,prefix,hash,signature
2635.486375613545,dqnp,bd6a3f,Gr7_Cr200_Sw2.0_Sv-20_Sf-10.0_Dr8_Oo-20.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
2207.3486973877193,dqnp,cc58ee,Gr7_Cr200_Sw2.0_Sv-15.0_Sf-20.0_Dr16_Oo-20.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
2166.410302058606,dqnp,c1a056,Gr9_Cr50_Sw2.0_Sv-20_Sf-20.0_Dr16_Oo-15.0_Ms60_Pb6_D0.8_M20000_m4000_B32_U20_T4
1954.5808419037214,dqnp,cbabf6,Gr9_Cr300_Sw2.0_Sv-15.0_Sf-15.0_Dr8_Oo-20.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
1920.908412996646,dqnp,ec67fb,Gr9_Cr200_Sw4.0_Sv-15.0_Sf-15.0_Dr8_Oo-20.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
1876.9145162973894,dqnp,5a9155,Gr7_Cr200_Sw1.0_Sv-20_Sf-10.0_Dr4_Oo-15.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1801.692904432549,dqnm,0331ef,Gr9_Cr250_Sw1.0_Sv-20_Sf-10.0_Dr8_Oo-15.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
1785.0467345004083,dqnp,dbcf07,Gr5_Cr100_Sw2.0_Sv-15.0_Sf-20.0_Dr8_Oo-10.0_Ms60_Pb6_D0.8_M20000_m4000_B32_U20_T4
1699.6733963409126,dqnp,6b7d0e,Gr7_Cr250_Sw2.0_Sv-10.0_Sf-10.0_Dr16_Oo-20.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1621.7072209950268,dqnp,1627ab,Gr9_Cr250_Sw2.0_Sv-15.0_Sf-15.0_Dr8_Oo-20.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1620.7337317716062,dqnp,cd4381,Gr7_Cr300_Sw2.0_Sv-10.0_Sf-10.0_Dr8_Oo-15.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1552.6213236916572,dqnp,90a7dd,Gr7_Cr100_Sw1.0_Sv-15.0_Sf-15.0_Dr8_Oo-20.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
1476.4928525001915,dqnp,101a7f,Gr7_Cr250_Sw4.0_Sv-15.0_Sf-20.0_Dr4_Oo-15.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
1470.8287100664038,dqnp,5143fc,Gr9_Cr200_Sw4.0_Sv-20_Sf-15.0_Dr8_Oo-20.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
1457.3649521699633,dqnm,45356e,Gr7_Cr250_Sw4.0_Sv-20_Sf-20.0_Dr16_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
1448.67047363014,dqnd,ac6e9a,Gr9_Cr250_Sw4.0_Sv-20_Sf-15.0_Dr4_Oo-20.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
1436.3561490882155,dqnp,e0197f,Gr7_Cr250_Sw0.5_Sv-15.0_Sf-15.0_Dr8_Oo-15.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1433.3027433308177,dqnm,ed325a,Gr7_Cr300_Sw1.0_Sv-20_Sf-10.0_Dr8_Oo-15.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
1421.1747965223265,dqnm,ae18e3,Gr9_Cr200_Sw4.0_Sv-20_Sf-10.0_Dr8_Oo-15.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1413.8498714464874,dqnp,413bb5,Gr7_Cr200_Sw1.0_Sv-20_Sf-10.0_Dr8_Oo-10.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
1413.789193512888,dqnp,57358f,Gr7_Cr200_Sw1.0_Sv-20_Sf-15.0_Dr16_Oo-10.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
1408.3653574973653,dqnp,dcaaf4,Gr9_Cr200_Sw1.0_Sv-20_Sf-10.0_Dr8_Oo-15.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
1386.8287286381544,dqnp,e67066,Gr7_Cr200_Sw4.0_Sv-20_Sf-10.0_Dr16_Oo-20.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
1375.6078628119042,dqnm,b35cbc,Gr9_Cr300_Sw1.0_Sv-10.0_Sf-15.0_Dr4_Oo-20.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1371.3216274470967,dqnp,dba1be,Gr7_Cr50_Sw1.0_Sv-10.0_Sf-15.0_Dr8_Oo-15.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
1358.4467764042195,dqnp,0a5513,Gr7_Cr250_Sw2.0_Sv-20_Sf-10.0_Dr4_Oo-20.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
1340.5457723010807,dqnp,9523a1,Gr7_Cr250_Sw4.0_Sv-20_Sf-15.0_Dr4_Oo-20.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
1326.0500876284138,dqnp,5576b8,Gr9_Cr200_Sw0.5_Sv-20_Sf-20.0_Dr16_Oo-15.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
1320.9857165033523,dqnp,13812e,Gr7_Cr200_Sw1.0_Sv-20_Sf-10.0_Dr8_Oo-15.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
1262.4791259804422,dqnp,07619e,Gr9_Cr250_Sw1.0_Sv-15.0_Sf-15.0_Dr8_Oo-15.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
1234.2824029357719,dqnp,d74068,Gr9_Cr50_Sw4.0_Sv-20_Sf-20.0_Dr8_Oo-10.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
1215.5748026661595,dqnp,3bf2b5,Gr9_Cr300_Sw2.0_Sv-20_Sf-20.0_Dr4_Oo-10.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1193.1872143938408,dqnp,09e2c5,Gr9_Cr200_Sw2.0_Sv-10.0_Sf-10.0_Dr8_Oo-10.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
1138.8442187046196,dqnp,d076ee,Gr7_Cr250_Sw1.0_Sv-20_Sf-10.0_Dr4_Oo-15.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
1105.316563796967,dqnp,85a38a,Gr7_Cr250_Sw4.0_Sv-20_Sf-15.0_Dr16_Oo-15.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
1024.0236766790217,dqnp,40086c,Gr7_Cr250_Sw2.0_Sv-15.0_Sf-15.0_Dr8_Oo-10.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
1006.6729404409051,dqnm,e5d398,Gr9_Cr300_Sw4.0_Sv-20_Sf-10.0_Dr4_Oo-20.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
972.4157939953069,dqnp,464b19,Gr9_Cr250_Sw1.0_Sv-10.0_Sf-20.0_Dr16_Oo-20.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
947.1945222784847,dqnd,e40381,Gr7_Cr200_Sw2.0_Sv-20_Sf-10.0_Dr16_Oo-15.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
941.27177536943,dqnp,6213a4,Gr7_Cr250_Sw4.0_Sv-20_Sf-20.0_Dr16_Oo-20.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
886.2518716840378,dqnp,0dc795,Gr7_Cr300_Sw2.0_Sv-20_Sf-15.0_Dr8_Oo-20.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
871.9357015990408,dqnp,c465d5,Gr5_Cr250_Sw4.0_Sv-20_Sf-20.0_Dr16_Oo-20.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
828.6547193962779,dqnd,94e6cc,Gr7_Cr300_Sw2.0_Sv-10.0_Sf-15.0_Dr8_Oo-20.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
795.9018306891044,dqnm,9fbe36,Gr9_Cr300_Sw4.0_Sv-10.0_Sf-15.0_Dr8_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
794.6737051166004,dqnm,83aead,Gr9_Cr200_Sw2.0_Sv-20_Sf-15.0_Dr4_Oo-15.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
782.1311562895398,dqnm,8d3d34,Gr9_Cr250_Sw2.0_Sv-10.0_Sf-20.0_Dr4_Oo-20.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
776.4708761230894,dqnp,005364,Gr9_Cr250_Sw4.0_Sv-15.0_Sf-15.0_Dr16_Oo-10.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
762.2957525465631,dqnd,0ded19,Gr9_Cr200_Sw1.0_Sv-15.0_Sf-15.0_Dr4_Oo-15.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
743.7427664967059,dqnp,294ff1,Gr7_Cr250_Sw1.0_Sv-10.0_Sf-20.0_Dr16_Oo-10.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
738.429747965139,dqnp,8ddb16,Gr7_Cr300_Sw2.0_Sv-10.0_Sf-10.0_Dr8_Oo-20.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
705.7001672648686,dqnm,8ff674,Gr7_Cr250_Sw2.0_Sv-15.0_Sf-20.0_Dr8_Oo-15.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
700.761312652238,dqnp,7d06da,Gr7_Cr200_Sw8.0_Sv-15.0_Sf-10.0_Dr2_Oo-10.0_Ms60_Pb6_D0.8_M20000_m4000_B32_U20_T4
695.6767696144426,dqnp,967cd7,Gr9_Cr300_Sw1.0_Sv-10.0_Sf-15.0_Dr16_Oo-10.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
692.0505981410207,dqnp,055987,Gr5_Cr200_Sw2.0_Sv-15.0_Sf-20.0_Dr2_Oo-15.0_Ms60_Pb6_D0.9_M20000_m4000_B32_U20_T4
676.5447261579169,dqnp,5c0603,Gr9_Cr300_Sw4.0_Sv-15.0_Sf-15.0_Dr8_Oo-10.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
661.7896160983104,dqnd,f89e1e,Gr7_Cr250_Sw4.0_Sv-20_Sf-15.0_Dr8_Oo-20.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
659.1078733201433,dqnp,17c659,Gr7_Cr300_Sw1.0_Sv-10.0_Sf-15.0_Dr8_Oo-15.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
642.7772840696599,dqnp,f8a831,Gr7_Cr200_Sw4.0_Sv-20_Sf-20.0_Dr2_Oo-15.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
641.87575351309,dqnm,2d4f0f,Gr7_Cr200_Sw4.0_Sv-10.0_Sf-15.0_Dr8_Oo-15.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
594.4795318184174,dqnp,073bf6,Gr9_Cr200_Sw1.0_Sv-15.0_Sf-15.0_Dr8_Oo-20.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
588.0392849250242,dqnd,5038e1,Gr7_Cr200_Sw1.0_Sv-10.0_Sf-20.0_Dr4_Oo-10.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
578.0083850812067,dqnd,8d49a2,Gr9_Cr200_Sw4.0_Sv-20_Sf-10.0_Dr16_Oo-10.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
561.1867905189151,dqnd,e52e1d,Gr7_Cr300_Sw2.0_Sv-15.0_Sf-20.0_Dr4_Oo-15.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
556.6370366724581,dqnp,b088d7,Gr9_Cr200_Sw1.0_Sv-20_Sf-15.0_Dr8_Oo-15.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
556.1073822505809,dqnm,4ead3c,Gr9_Cr300_Sw4.0_Sv-20_Sf-15.0_Dr4_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
546.9274587756717,dqnp,0e129b,Gr7_Cr300_Sw4.0_Sv-20_Sf-10.0_Dr16_Oo-15.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
542.8155817133929,dqnm,b6f3f1,Gr7_Cr200_Sw2.0_Sv-20_Sf-15.0_Dr8_Oo-10.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
530.8732275016297,dqnp,1b5628,Gr7_Cr200_Sw1.0_Sv-20_Sf-15.0_Dr8_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
528.7887255431965,dqnp,4b0786,Gr7_Cr300_Sw2.0_Sv-10.0_Sf-15.0_Dr8_Oo-10.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
522.769294956794,dqnd,9183b8,Gr7_Cr250_Sw1.0_Sv-10.0_Sf-10.0_Dr8_Oo-10.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
516.1371097468364,dqnp,dda731,Gr9_Cr250_Sw4.0_Sv-20_Sf-20.0_Dr8_Oo-20.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
503.4342379419716,dqnm,ab785c,Gr9_Cr200_Sw1.0_Sv-10.0_Sf-20.0_Dr8_Oo-10.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
500.93020572504844,dqnp,c3b27b,Gr5_Cr300_Sw2.0_Sv-20_Sf-20.0_Dr8_Oo-15.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
494.38778260838757,dqnd,20ee5e,Gr9_Cr250_Sw1.0_Sv-20_Sf-15.0_Dr4_Oo-10.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
473.34237576875665,dqnm,74679f,Gr9_Cr300_Sw2.0_Sv-15.0_Sf-10.0_Dr8_Oo-10.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
458.7445767018271,dqnp,d0da6d,Gr7_Cr250_Sw4.0_Sv-20_Sf-20.0_Dr4_Oo-15.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
435.16104194091275,dqnm,0a1f34,Gr7_Cr200_Sw1.0_Sv-20_Sf-10.0_Dr16_Oo-20.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
431.40067277806423,dqnm,76498e,Gr9_Cr200_Sw4.0_Sv-10.0_Sf-10.0_Dr16_Oo-10.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
422.5790461840358,dqnp,4cd6d0,Gr9_Cr200_Sw4.0_Sv-20_Sf-15.0_Dr16_Oo-20.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
419.57527759951944,dqnm,15020c,Gr7_Cr300_Sw2.0_Sv-20_Sf-10.0_Dr8_Oo-20.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
413.4506147663474,dqnm,6e85cf,Gr9_Cr200_Sw2.0_Sv-20_Sf-20.0_Dr8_Oo-15.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
399.08526378058195,dqnd,92bef2,Gr9_Cr300_Sw2.0_Sv-15.0_Sf-15.0_Dr16_Oo-20.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
