reward,hash,signature
1801.692904432549,0331ef,Gr9_Cr250_Sw1.0_Sv-20_Sf-10.0_Dr8_Oo-15.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
1457.3649521699633,45356e,Gr7_Cr250_Sw4.0_Sv-20_Sf-20.0_Dr16_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
1433.3027433308177,ed325a,Gr7_Cr300_Sw1.0_Sv-20_Sf-10.0_Dr8_Oo-15.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
1421.1747965223265,ae18e3,Gr9_Cr200_Sw4.0_Sv-20_Sf-10.0_Dr8_Oo-15.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1375.6078628119042,b35cbc,Gr9_Cr300_Sw1.0_Sv-10.0_Sf-15.0_Dr4_Oo-20.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1006.6729404409051,e5d398,Gr9_Cr300_Sw4.0_Sv-20_Sf-10.0_Dr4_Oo-20.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
795.9018306891044,9fbe36,Gr9_Cr300_Sw4.0_Sv-10.0_Sf-15.0_Dr8_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
794.6737051166004,83aead,Gr9_Cr200_Sw2.0_Sv-20_Sf-15.0_Dr4_Oo-15.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
782.1311562895398,8d3d34,Gr9_Cr250_Sw2.0_Sv-10.0_Sf-20.0_Dr4_Oo-20.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
705.7001672648686,8ff674,Gr7_Cr250_Sw2.0_Sv-15.0_Sf-20.0_Dr8_Oo-15.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
641.87575351309,2d4f0f,Gr7_Cr200_Sw4.0_Sv-10.0_Sf-15.0_Dr8_Oo-15.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
556.1073822505809,4ead3c,Gr9_Cr300_Sw4.0_Sv-20_Sf-15.0_Dr4_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
542.8155817133929,b6f3f1,Gr7_Cr200_Sw2.0_Sv-20_Sf-15.0_Dr8_Oo-10.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
503.4342379419716,ab785c,Gr9_Cr200_Sw1.0_Sv-10.0_Sf-20.0_Dr8_Oo-10.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
473.34237576875665,74679f,Gr9_Cr300_Sw2.0_Sv-15.0_Sf-10.0_Dr8_Oo-10.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
435.16104194091275,0a1f34,Gr7_Cr200_Sw1.0_Sv-20_Sf-10.0_Dr16_Oo-20.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
431.40067277806423,76498e,Gr9_Cr200_Sw4.0_Sv-10.0_Sf-10.0_Dr16_Oo-10.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
419.57527759951944,15020c,Gr7_Cr300_Sw2.0_Sv-20_Sf-10.0_Dr8_Oo-20.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
413.4506147663474,6e85cf,Gr9_Cr200_Sw2.0_Sv-20_Sf-20.0_Dr8_Oo-15.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
341.80304786359665,4b2732,Gr7_Cr250_Sw4.0_Sv-10.0_Sf-10.0_Dr4_Oo-10.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
322.05609828428925,502805,Gr7_Cr250_Sw1.0_Sv-15.0_Sf-20.0_Dr4_Oo-15.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
320.2123292721081,eb975d,Gr7_Cr250_Sw2.0_Sv-15.0_Sf-15.0_Dr8_Oo-20.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
313.43365699367183,629401,Gr7_Cr300_Sw1.0_Sv-10.0_Sf-20.0_Dr16_Oo-15.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
300.3931738189818,621be2,Gr9_Cr300_Sw2.0_Sv-20_Sf-10.0_Dr16_Oo-20.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
299.2601856294839,22a4d7,Gr7_Cr200_Sw1.0_Sv-10.0_Sf-20.0_Dr8_Oo-10.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
