reward,prefix,hash,signature
90642.28090271975,dqns,515d8f,Gr9_Cr200_Sw1.0_Sv-15.0_Sf-15.0_Dr16_Oo-20.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
50601.360346260466,dqns,7704f2,Gr7_Cr200_Sw4.0_Sv-20_Sf-15.0_Dr4_Oo-20.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
45747.277237,dqns,8de7d1,Gr7_Cr200_Sw2.0_Sv-20_Sf-20.0_Dr8_Oo-15.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
12707.90927577534,dqns,286880,Gr7_Cr200_Sw8.0_Sv-15.0_Sf-15.0_Dr2_Oo-15.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
12538.207633351303,dqns,047ef7,Gr5_Cr200_Sw8.0_Sv-20_Sf-20.0_Dr4_Oo-15.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
10947.527160802703,dqns,2f7887,Gr9_Cr200_Sw8.0_Sv-15.0_Sf-15.0_Dr2_Oo-10.0_Ms80_Pb6_D0.95_M20000_m4000_B32_U20_T4
7263.225785652075,dqns,51cb43,Gr5_Cr200_Sw8.0_Sv-20_Sf-20.0_Dr16_Oo-15.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
6028.506522973412,dqns,0658e6,Gr7_Cr200_Sw1.0_Sv-20_Sf-15.0_Dr16_Oo-15.0_Ms80_Pb6_D0.95_M20000_m4000_B32_U20_T4
4333.16774445088,dqns,6b2b6a,Gr5_Cr50_Sw1.0_Sv-10.0_Sf-10.0_Dr4_Oo-10.0_Ms40_Pb6_D0.95_M20000_m4000_B32_U20_T4
2894.3283370073204,dqns,520968,Gr7_Cr200_Sw2.0_Sv-15.0_Sf-10.0_Dr4_Oo-15.0_Ms10_Pb6_D0.95_M20000_m4000_B32_U20_T4
1742.848492219977,dqns,e3ef97,Gr7_Cr200_Sw8.0_Sv-15.0_Sf-10.0_Dr2_Oo-20.0_Ms20_Pb6_D0.95_M20000_m4000_B32_U20_T4
1365.0755313169855,dqns,2c52cd,Gr5_Cr50_Sw2.0_Sv-15.0_Sf-20.0_Dr8_Oo-10.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
1316.1180887763744,dqns,726c0d,Gr7_Cr200_Sw4.0_Sv-15.0_Sf-15.0_Dr16_Oo-20.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
1311.9628289177356,dqns,683450,Gr7_Cr300_Sw8.0_Sv-15.0_Sf-10.0_Dr16_Oo-10.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
1163.2752082232653,dqns,9254bc,Gr9_Cr200_Sw8.0_Sv-15.0_Sf-20.0_Dr16_Oo-15.0_Ms40_Pb6_D0.95_M20000_m4000_B32_U20_T4
1148.3131833888554,dqns,09bfb2,Gr5_Cr200_Sw2.0_Sv-15.0_Sf-15.0_Dr2_Oo-10.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
1098.8315595576537,dqns,73723b,Gr9_Cr200_Sw2.0_Sv-15.0_Sf-10.0_Dr8_Oo-10.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
977.4964976598751,dqns,c1673e,Gr9_Cr200_Sw8.0_Sv-20_Sf-15.0_Dr8_Oo-10.0_Ms10_Pb6_D0.8_M20000_m4000_B32_U20_T4
923.2165810584902,dqns,34022c,Gr5_Cr200_Sw1.0_Sv-10.0_Sf-15.0_Dr2_Oo-10.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
900.6829032897004,dqns,c20d33,Gr5_Cr100_Sw0.5_Sv-10.0_Sf-15.0_Dr2_Oo-20.0_Ms20_Pb6_D0.95_M20000_m4000_B32_U20_T4
831.3076932282504,dqns,c128dc,Gr7_Cr300_Sw2.0_Sv-20_Sf-20.0_Dr2_Oo-20.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
827.2097787943725,dqns,733598,Gr5_Cr200_Sw1.0_Sv-20_Sf-20.0_Dr16_Oo-20.0_Ms10_Pb6_D0.8_M20000_m4000_B32_U20_T4
823.6403949311194,dqns,60aeae,Gr5_Cr300_Sw4.0_Sv-20_Sf-15.0_Dr16_Oo-10.0_Ms10_Pb6_D0.8_M20000_m4000_B32_U20_T4
719.6723525612199,dqns,1c065c,Gr9_Cr300_Sw1.0_Sv-15.0_Sf-10.0_Dr4_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
640.7715006542088,dqns,2640d8,Gr7_Cr100_Sw0.5_Sv-15.0_Sf-15.0_Dr4_Oo-20.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
640.2956532556204,dqns,2e928d,Gr5_Cr200_Sw8.0_Sv-20_Sf-15.0_Dr2_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
578.098840348649,dqns,cdef7d,Gr7_Cr200_Sw2.0_Sv-15.0_Sf-20.0_Dr16_Oo-20.0_Ms10_Pb6_D0.95_M20000_m4000_B32_U20_T4
501.6682223917058,dqns,fc4a81,Gr9_Cr200_Sw4.0_Sv-10.0_Sf-10.0_Dr16_Oo-20.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
