id,section_name,agents_no,start_left,start_right,start_bottom,start_top,goal_x,goal_y
1,biedronka,1,853,883,1007,932,190,815
2,biedronka,1,923,953,1007,932,190,815
1,lidl,1,156,231,812,782,597,198
2,lidl,1,156,231,742,712,597,198
1,groszek,1,605,635,273,198,1381,649
2,groszek,1,675,705,273,198,1381,649
1,lewiatan,1,1394,1424,729,654,1804,666
2,lewiatan,1,1464,1494,729,654,1804,666
1,dino,1,1770,1845,666,636,1675,156
2,dino,1,1770,1845,596,566,1675,156
1,aldi,1,1575,1605,199,124,1223,288
2,aldi,1,1645,1675,199,124,1223,288
1,kaufland,1,1190,1265,398,368,953,964
2,kaufland,1,1190,1265,328,298,953,964
